date_collected,product_itemid,shopid,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,product_total_rating,stock,units_sold,shop_location
6/21/2021,6416348685,1083822,NKD Korean Fashion Katrina Plain Garter Daily Basic Loose Top 1211,150,85,85,43,No Brand,378,630,4124,4.93,9809,1521,"Taytay, Rizal"
6/21/2021,6805502646,46399675,SANDARA Ruffles Crop Top (Petite Only),150,55,55,63,No Brand,22870,25003,41374,4.71,4762,76466,"Pasig City, Metro Manila"
6/21/2021,1842676689,43841660,UFW #008 New Sexy Korean Knitted Crop Top with styles on the back,280,99,99,65,No Brand,213,228,1287,4.87,365,537,"Tondo I / Ii, Metro Manila"
6/21/2021,8652252217,23250659,Rainbow Crop Top Knitted Shirt Korean Blouse for Women Stripes Off Shoulder Top,,129,129,0,No Brand,422,20,9834,4.9,2976,33,"Valenzuela City, Metro Manila"
6/21/2021,6685224091,144287446,COD DVX #A4766 Korean Women's Knitted Spaghetti Strap Sexy Top T-shirt Casual Sleeveless Damit,175,54,54,69,No Brand,71,39,3969,4.92,91,176,"Caloocan City, Metro Manila"
6/21/2021,7678295688,25811092,FLY EMIRATES V neck Sublimation Crop Top,149,53,58,64,No Brand,4236,6295,71884,4.77,35121,35178,"Pasay City, Metro Manila"
6/21/2021,8730004617,328781757,G&G Women's Tops Summer Korean Vintage Sexy Sleeveless Polo Collar Short Solid-color T-shirt,401,221,221,45,No Brand,1621,42,14522,4.76,11861,95,Mainland China
6/21/2021,4277377630,373517388,48 ONLY! NEW TRENDY KOREAN LETTUCE STRIPES RIB KNITTED CROP TOPS OPENING SALE!!!,140,49,49,65,No Brand,1215,198,45155,4.82,962,1198,"Antipolo City, Rizal"
6/21/2021,8540413315,49776252,Korean Sexy Super Short T Shirt Style Top Tees For Women T-Shirt,,68,68,0,No Brand,133,67,6351,4.76,49761,190,"Quezon City, Metro Manila"
6/21/2021,5875075285,46399675,CRYSTAL SHEIN Ribbed Ruffle Bust Top,200,65,65,68,No Brand,14237,10671,167938,4.82,17725,31618,"Pasig City, Metro Manila"
6/21/2021,7082546988,281266301,Zara Adjustable Front Ruched String Top/ 2-Way String Top/ Off Shoulder Korean Crop Top,,65,65,0,No Brand,1204,571,31455,4.9,144,1721,"Taytay, Rizal"
6/21/2021,3279130742,31488555,WPF Korean Style Rib Knit Sando Crop Top Smocked Back Padded N2#,100,65,65,35,No Brand,959,478,12878,4.88,394,1493,"San Nicolas, Metro Manila"
6/21/2021,3190181964,10377223,R&O Korean style Classical Reflective Butterfly Printed Crop top,199,74,74,63,No Brand,367,451,15038,4.98,792,963,"Pasay City, Metro Manila"
